Страховщик;Программа;Уровень доказательства;Квартира;Дом;БПЛА;Части/обломки;Ударная/звуковая волна;ПВО/подавление;Терроризм;Военные действия;Ключевое условие;Основной источник
ВСК;Специальный КИД имущества граждан от БПЛА;A;Да;Да;Да;Да;Да;Да — средства защиты и подавления БПЛА;Да;Специальная оговорка отменяет связанные исключения для БПЛА;Нужная оговорка должна быть в конкретном полисе, ракеты исключены из определения БПЛА;https://www.vsk.ru/cms/assets/d516acac-c079-440f-a835-8b46bd9b9b4d
ПАРИ;Защита от беспилотных летательных аппаратов;A;Да;Не подтверждено в текущем онлайн-калькуляторе;Да;Да;Да;Да;Да — обязательная квалификация по ст. 205 УК РФ;Исключены кроме прямо описанного события;Нужна прямая связь с терроризмом и документы компетентных органов;https://skpari.ru/private-client/uploads/documents/69f9e0093c31e138703359.PDF
Т-Страхование;Страхование квартиры;A;Да;Отдельный продукт есть, но не в текущем партнерском оффере;Да;Да;Да — только вызванная падением;Не подтверждено;Не подтверждено;Исключены общими правилами;В полисе должен быть риск механических повреждений;https://cdn.tinsurance.ru/static/documents/ifl_gw.pdf
Росгосстрах;Правила № 270 / продукты квартиры;A;Да;Да;Да;Да;Да — вызванная падением;Базово исключено;Отдельный риск, базово исключен;Базово исключены;Договор должен прямо включить нужные расширения;https://www-data.rgs.ru/upload/iblock/444/t7naa102npi74veilsfoy55ds2mcjiyd/Pravila-strakhovaniya-imushchestva-i-GO-FL-_-270.pdf
РЕСО-Гарантия;Страхование квартиры / опция терроризма;A/B;Да;Да;Да;Да;Да — звуковая волна;Не подтверждено;Дополнительная опция;Базово исключены;Опция «Терроризм, включая падение БПЛА» должна быть включена;https://reso.ru/individual/property/flat/
СберСтрахование;Страхование дома и квартиры;B;Да;Да;Да;Да;Не подтверждено;Не подтверждено;Не подтверждено;Нет найденного расширения;Публично подтверждено только падение аппарата или части;https://sberbankins.ru/products/home-insurance-online/
СОГАЗ;СОГАЗ-Квартира;B;Да;Не исследовано;Только невоенный и нетеррористический аппарат;Не раскрыто;Не подтверждено;Не подтверждено;Военное/террористическое назначение исключено;Военный БПЛА исключен;Нельзя называть страховкой от атаки БПЛА;https://www.sogaz.ru/realty/flat/
СОГАЗ;СОГАЗ-ЖКХ в приложении Госуслуги Дом;B;Да;Не подтверждено;Заявлено;Не раскрыто;Не подтверждено;Не подтверждено;Да — заявлено страховщиком;Не раскрыто в найденной оферте;Нужен актуальный полис-оферта конкретного канала;https://www.sogaz.ru/sogaz/pressroom/release/862509/
Ренессанс Страхование;Опция «Защита по риску терроризм»;B−;Да;Заявлено;Заявлено;Заявлено;Заявлено;Заявлено;Да;Заявлено покрытие, включая военные действия;Нужен образец полиса, статья не заменяет договор;https://content.renins.ru/kvartira/strahovanie-bpla/
АльфаСтрахование;АльфаЗащита от БПЛА;B;Да;Не подтверждено;Заявлено;Заявлено;Заявлено — вызванная падением;Не подтверждено;Заявлено;Не подтверждено;Страница партнерского канала не доказывает общую доступность и не заменяет КИД, правила и полис;https://wsm.alfastrah.ru/ifl
Ингосстрах;Стандартное страхование квартиры;C;Да;Да;Не подтверждено специальное покрытие;Не подтверждено;Не подтверждено;Не подтверждено;Публично указано типовое исключение;Публично указано типовое исключение;Корпоративные правила нельзя переносить на полис физлица;https://www.ingos.ru/property/flat/kaliningrad
